id,ref_type,start_offset,end_offset,avg_ber,duration,,,,
48,mux,27018,45636,0.167964397,18618,,,,
48,mux,8400,13055,0.246582,4655,,,,
48,mux,-890,3764,0.285156,4654,,,,
48,trans,31673,45655,0.135905,13982,,,,
48,trans,8400,13055,0.248535,4655,,,,
48,trans,-890,3764,0.27832,4654,,,,
49,mux,-1944,12018,0.205729,13962,,,,
49,mux,11655,53564,0.211155586,41909,,,,
49,trans,-2290,53564,0.175863636,55854,,,,
50,mux,-417,4236,0.260742,4653,,,,
50,trans,-417,8891,0.2929685,9308,,,,
51,mux,11473,25455,0.192708667,13982,,,,
51,mux,2600,11909,0.2299805,9309,,,,
51,trans,2182,25455,0.161033475,23273,,,,
52,mux,164,32618,0.276226324,32454,,,,
52,trans,9364,32636,0.226175034,23272,,,,
52,trans,55,4709,0.322266,4654,,,,
53,mux,1691,15673,0.232259333,13982,,,,
53,trans,1509,15473,0.184407667,13964,,,,
54,mux,11255,62473,0.209827131,51218,,,,
54,trans,11255,62455,0.199530096,51200,,,,
55,mux,1000,52145,0.144885928,51145,,,,
55,trans,964,52164,0.151855317,51200,,,,
56,mux,14727,51964,0.193844108,37237,,,,
56,mux,945,10255,0.302002,9310,,,,
56,trans,764,51964,0.211910528,51200,,,,
58,mux,14927,38200,0.135256203,23273,,,,
58,mux,1200,15164,0.141113333,13964,,,,
58,mux,15964,20618,0.270996,4654,,,,
58,mux,47509,52164,0.27832,4655,,,,
58,trans,964,38200,0.144898776,37236,,,,
58,trans,15964,20618,0.271973,4654,,,,
58,trans,47509,52164,0.288086,4655,,,,
58,trans,39145,43800,0.324707,4655,,,,
58,trans,32582,37236,0.337891,4654,,,,
60,mux,-1308,59182,0.197492903,60490,,,,
60,trans,-1326,59182,0.17274085,60508,,,,
61,mux,-617,45800,0.247411882,46417,,,,
61,trans,8564,45800,0.240784756,37236,,,,
61,trans,-744,3909,0.292969,4653,,,,
62,mux,-926,27000,0.096922283,27926,,,,
62,trans,-908,27018,0.135659229,27926,,,,
63,mux,-235,50855,0.281960669,51090,,,,
63,trans,-344,50836,0.287864191,51180,,,,
64,trans,-2308,2345,0.333984,4653,,,,
68,mux,17982,36600,0.228027136,18618,,,,
68,mux,8855,13509,0.238281,4654,,,,
68,mux,41255,59873,0.252685338,18618,,,,
68,trans,8673,59873,0.240499801,51200,,,,
70,mux,2091,11400,0.206543,9309,,,,
70,mux,25164,57745,0.209054192,32581,,,,
70,trans,25164,57745,0.202985764,32581,,,,
70,trans,1891,15855,0.221354333,13964,,,,
71,mux,28673,56600,0.160642755,27927,,,,
71,mux,14709,19364,0.317871,4655,,,,
71,mux,5764,10418,0.34082,4654,,,,
71,trans,28691,56618,0.168699677,27927,,,,
71,trans,19382,24036,0.267578,4654,,,,
71,trans,5418,10073,0.34375,4655,,,,
72,mux,891,28836,0.187580692,27945,,,,
72,trans,909,28836,0.174885771,27927,,,,
73,mux,3218,40436,0.190246934,37218,,,,
